date,y
GMW000000036101001,436674.15152308403
GMW000000036102001,433947.5537412987
GMW000000036103001,433819.3531353897
GMW000000036104001,434359.48038159794
GMW000000036105001,434076.55219934275
GMW000000036106001,433981.4500967415
GMW000000036107001,434410.15287378273
GMW000000036108001,433846.05131718377
GMW000000036109001,433793.35051899945
GMW000000036110001,434447.35124843323
GMW000000036111001,436399.65253274597
GMW000000036112001,436803.2486312636
GMW000000036113001,436462.55118605844
GMW000000036114001,436801.9481669627
GMW000000036115001,437538.0473073413
GMW000000036116001,437369.84696691035
GMW000000036117001,437517.4477205256
GMW000000036118001,437278.84624521853
GMW000000036119001,436991.34822137177
GMW000000036120001,437362.9484785865
GMW000000036121001,437442.34787070187
GMW000000036122001,436787.34841425874
GMW000000036123001,436774.34789647924
GMW000000036124001,436476.6517606004
GMW000000036125001,436161.25354507763
GMW000000036126001,436604.94904074445
GMW000000036127001,436631.9579440951
GMW000000036128001,436749.15034910495
GMW000000036129001,436599.7516091858
GMW000000036130001,436600.25133890694
GMW000000036131001,438344.0412000852
GMW000000036132001,438222.8422171176
GMW000000036133001,437220.74709731614
GMW000000036142001,439018.4366042406
GMW000000036143001,436732.1465384242
GMW000000036144001,434974.4453301691
GMW000000036145001,434095.8419168693
GMW000000036146001,435077.4441596251
GMW000000036147001,435062.14343962574
GMW000000036148001,433924.3435121557
GMW000000036149001,433820.6452417039
GMW000000036150001,433887.9409835477
GMW000000036151001,433755.0422829125
GMW000000036152001,433755.9469111689
GMW000000036153001,433817.1483090602
GMW000000036154001,436157.2475896593
GMW000000036155001,436354.9456708621
GMW000000036156001,436608.94503778766
GMW000000036157001,436680.14436133846
GMW000000036158001,435764.8469385445
GMW000000036159001,436626.8460524258
GMW000000036160001,436433.7438491844
GMW000000036161001,436065.3458998196
GMW000000036162001,435774.0478038511
GMW000000036163001,435867.14569676964
GMW000000036164001,439048.0360775283
GMW000000036165001,438232.64097456215
GMW000000036166001,438283.23778693215
GMW000000036167001,439247.5356380189
GMW000000036168001,438483.43914775294
GMW000000036169001,436933.746160958
GMW000000036170001,437401.9413949926
GMW000000036171001,434098.8483202681
GMW000000036172001,438330.53776112664
GMW000000036173001,437622.7386023296
GMW000000036174001,434011.44458804507
GMW000000036175001,434147.24515174166
GMW000000036176001,436939.1443213517
GMW000000036177001,434131.74587120925
GMW000000036178001,436902.6466683569
GMW000000036179001,434039.64551934187
GMW000000036180001,433443.14447482425
GMW000000036181001,433431.9452015108
GMW000000036182001,434180.2431015324
GMW000000036183001,433423.34036682907
GMW000000036184001,433684.7453754477
GMW000000036185001,433682.24614251585
GMW000000036186001,433590.7467006682
GMW000000036187001,437301.8396605629
GMW000000036188001,433430.8399709703
GMW000000036189001,437580.54096094554
GMW000000036190001,433578.040661771
GMW000000036191001,433413.34674975276
GMW000000036192001,433436.83896915
GMW000000036193001,436687.4465778167
GMW000000036194001,433533.6425055228
GMW000000036195001,436700.9448828679
GMW000000036196001,437434.340930871
GMW000000036197001,433654.2392534719
GMW000000036198001,436712.9462387874
GMW000000036199001,433449.147576654
GMW000000036200001,436606.74603186775
GMW000000036201001,436873.9457678753
GMW000000036202001,436494.44637761026
GMW000000036203001,441335.7282141851
GMW000000036204001,441257.82848207274
GMW000000036205001,441591.3762659661
GMW000000036206001,441522.32740998804
