date,source
GMW000000036577001,lizard
GMW000000036578001,lizard
GMW000000036579001,lizard
GMW000000036580001,lizard
GMW000000036581001,lizard
GMW000000036582001,lizard
GMW000000036583001,lizard
GMW000000036584001,lizard
GMW000000036585001,lizard
GMW000000036586001,lizard
GMW000000036587001,lizard
GMW000000036588001,lizard
GMW000000036589001,lizard
GMW000000036590001,lizard
GMW000000036591001,lizard
GMW000000036592001,lizard
GMW000000036593001,lizard
GMW000000036594001,lizard
GMW000000036595001,lizard
GMW000000036596001,lizard
GMW000000036597001,lizard
GMW000000036598001,lizard
GMW000000036599001,lizard
GMW000000036600001,lizard
GMW000000036601001,lizard
GMW000000036602001,lizard
GMW000000036603001,lizard
GMW000000036604001,lizard
GMW000000036605001,lizard
GMW000000036606001,lizard
GMW000000036607001,lizard
GMW000000036608001,lizard
GMW000000036609001,lizard
GMW000000036610001,lizard
GMW000000036611001,lizard
GMW000000036612001,lizard
GMW000000036613001,lizard
GMW000000036614001,lizard
GMW000000036615001,lizard
GMW000000036616001,lizard
GMW000000036617001,lizard
GMW000000036618001,lizard
GMW000000036619001,lizard
GMW000000036620001,lizard
GMW000000036621001,lizard
GMW000000036622001,lizard
GMW000000036623001,lizard
GMW000000036624001,lizard
GMW000000036625001,lizard
GMW000000036626001,lizard
GMW000000036627001,lizard
GMW000000036628001,lizard
GMW000000036629001,lizard
GMW000000036630001,lizard
GMW000000036631001,lizard
GMW000000036632001,lizard
GMW000000036633001,lizard
GMW000000036634001,lizard
GMW000000036635001,lizard
GMW000000036636001,lizard
GMW000000036637001,lizard
GMW000000036638001,lizard
GMW000000036639001,lizard
GMW000000036642001,lizard
GMW000000036643001,lizard
GMW000000036644001,lizard
GMW000000036645001,lizard
GMW000000036646001,lizard
GMW000000036647001,lizard
GMW000000036648001,lizard
GMW000000036649001,lizard
GMW000000036650001,lizard
GMW000000036651001,lizard
GMW000000036652001,lizard
GMW000000036653001,lizard
GMW000000036654001,lizard
GMW000000036655001,lizard
GMW000000036656001,lizard
GMW000000036657001,lizard
GMW000000036658001,lizard
GMW000000036659001,lizard
GMW000000036660001,lizard
GMW000000036661001,lizard
GMW000000036662001,lizard
GMW000000036663001,lizard
GMW000000036664001,lizard
GMW000000036665001,lizard
GMW000000036666001,lizard
GMW000000036667001,lizard
